page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
5.0,105.6,2.0,1.4,1.4,1.5,1.0,0.0,1.0,0.033680554,3.4,0.073424876,6.8,-0.23722994
6.0,129.08333,1.1666666,1.0,1.8333334,2.0,1.0,0.0,1.0,0.0575,2.1666667,0.037518553,6.1666665,0.15979148
9.0,58.444443,1.1111112,1.1111112,1.7777778,2.0,0.0,0.0,1.0,0.032291666,2.2222223,0.047257103,5.111111,0.0
6.0,158.91667,0.8333333,1.1666666,2.0,2.2,1.0,0.0,1.0,0.05076389,2.0,0.046777703,5.6666665,0.19766825
6.0,171.33333,1.6666666,1.8333334,2.0,2.2,1.0,0.0,1.0,0.060416665,3.5,0.032406975,11.0,0.008951362
7.0,45.92857,2.0,1.1428572,1.8571428,2.1666667,1.0,0.0,0.0,0.021736111,3.142857,0.0747316,6.285714,0.14032543
7.0,66.35714,1.4285715,1.4285715,2.0,2.1666667,0.0,0.0,1.0,0.026944444,2.857143,0.04547735,8.0,0.0
5.0,72.6,2.0,1.8,2.0,2.25,1.0,0.0,1.0,0.022291666,3.8,0.049476005,8.4,0.19627632
6.0,204.58333,2.0,1.0,2.0,2.2,1.0,0.0,1.0,0.079166666,3.0,0.04002363,6.0,0.16015847
6.0,126.416664,2.0,2.3333333,1.3333334,1.4,1.0,0.0,1.0,0.041944444,4.3333335,0.053960886,11.166667,0.0
8.0,47.3125,2.25,2.25,1.375,1.7142857,1.0,0.0,1.0,0.022708334,4.5,0.065750174,9.5,0.12300809
5.0,105.6,2.0,2.0,2.0,2.25,1.0,0.0,1.0,0.030347222,4.0,0.060541548,11.4,0.1937779
6.0,138.58333,1.1666666,2.0,1.5,1.8,1.0,0.0,1.0,0.04777778,3.1666667,0.041051973,8.166667,0.0
8.0,47.8125,0.75,0.75,1.75,2.142857,0.0,0.0,1.0,0.020763889,1.5,0.056263693,4.5,0.12378248
6.0,118.166664,3.0,2.0,2.0,2.2,1.0,0.0,0.0,0.053402778,5.0,0.053209964,13.333333,-0.16139911
4.0,100.25,1.0,0.5,2.0,2.3333333,1.0,0.0,1.0,0.018541666,1.5,0.037190627,4.25,0.24079005
8.0,50.625,1.125,1.5,1.625,1.8571428,1.0,0.0,1.0,0.020763889,2.625,0.05587104,5.875,0.123280995
5.0,63.5,1.0,0.8,1.6,2.0,1.0,0.0,1.0,0.015416667,1.8,0.06091892,5.0,0.19429213
6.0,110.5,0.8333333,0.6666667,2.0,2.2,1.0,0.0,1.0,0.036180556,1.5,0.05263521,4.5,0.20600756
6.0,118.5,1.0,1.0,2.0,2.2,1.0,0.0,1.0,0.039375,2.0,0.057520162,7.0,0.15910843
7.0,40.5,1.5714285,1.4285715,1.2857143,1.3333334,1.0,0.0,1.0,0.02111111,3.0,0.062184274,8.142858,0.0
7.0,44.714287,0.71428573,0.42857143,1.8571428,2.0,1.0,0.0,1.0,0.02111111,1.1428572,0.05753866,3.4285715,0.0
5.0,78.1,0.8,0.4,2.0,2.25,1.0,0.0,1.0,0.025208334,1.2,0.044563014,3.6,0.1940247
6.0,123.916664,1.8333334,1.3333334,2.0,2.2,1.0,0.0,1.0,0.049513888,3.1666667,0.05388564,9.666667,0.20670556
7.0,47.92857,1.5714285,1.5714285,1.4285715,1.6666666,1.0,0.0,1.0,0.023472222,3.142857,0.04748644,8.142858,0.0
5.0,52.8,0.8,0.6,2.0,2.25,1.0,0.0,1.0,0.014097222,1.4,0.064003356,4.2,0.0
6.0,108.583336,0.8333333,0.6666667,1.3333334,1.6,1.0,0.0,1.0,0.045277778,1.5,0.04240324,3.0,0.108204156
7.0,50.857143,1.4285715,1.1428572,1.2857143,1.5,1.0,0.0,1.0,0.02236111,2.5714285,0.071069084,6.857143,0.0
7.0,37.42857,0.85714287,0.5714286,2.0,2.1666667,1.0,0.0,1.0,0.016319444,1.4285715,0.054555923,3.7142856,0.0
8.0,55.0,1.875,1.75,0.75,1.8571428,1.0,0.0,1.0,0.024375,3.625,0.056289945,7.75,0.0
5.0,102.8,2.4,2.2,1.4,1.5,1.0,0.0,1.0,0.029861111,4.6,0.05564388,11.4,0.0
6.0,167.41667,0.6666667,0.6666667,1.5,1.6,1.0,0.0,1.0,0.059791666,1.3333334,0.08815599,4.3333335,0.0
7.0,54.785713,1.5714285,1.4285715,2.0,2.1666667,1.0,0.0,1.0,0.022291666,3.0,0.061530497,7.857143,0.0
5.0,84.6,1.4,1.4,1.6,2.25,1.0,0.0,1.0,0.027777778,2.8,0.068918124,8.6,0.0008801763
6.0,174.41667,2.0,1.6666666,1.3333334,1.8,1.0,0.0,1.0,0.064791664,3.6666667,0.04217484,9.666667,0.21489933
6.0,217.25,3.3333333,3.1666667,2.0,2.2,1.0,0.0,1.0,0.06819444,6.5,0.052118164,13.833333,0.0
